x,y,z,interval_no,pause/unpause,data_sample_no,packet_no,App_Interval_no,RunType
0.7001953, 0.46826172, 2.5283203,1,0,207,1,1,1 
-0.4243164, -0.029785156, 2.2519531,1,0,208,1,1,1 
-0.20947266, -1.5444336, 0.99365234,1,0,209,1,1,1 
-0.6845703, 0.11376953, 1.8920898,1,0,210,1,1,1 
-0.7866211, 0.083496094, 1.6196289,1,0,211,1,1,1 
-0.9838867, -0.45654297, 0.9345703,1,0,212,1,1,1 
-0.8486328, 0.25439453, 1.5834961,1,0,213,1,1,1 
-0.890625, 0.036621094, 1.449707,1,0,214,1,1,1 
-1.4907227, 0.32470703, 1.1591797,1,0,215,1,1,1 
-0.5493164, -0.009277344, 0.7324219,1,0,216,1,1,1 
-0.43896484, 0.013671875, 0.7207031,1,0,217,1,1,1 
-0.051757812, 0.029296875, 0.5336914,1,0,218,1,1,1 
0.0087890625, 0.30371094, 0.59228516,1,0,219,1,1,1 
0.24853516, 0.16992188, 0.49853516,1,0,220,1,1,1 
0.41503906, 0.22705078, 0.75878906,1,0,221,1,1,1 
0.32910156, 0.28271484, 0.92529297,1,0,222,1,1,1 
0.26416016, 0.3642578, 1.1044922,1,0,223,1,1,1 
0.2788086, 0.3017578, 1.2319336,1,0,224,1,1,1 
0.2319336, 0.24902344, 1.3911133,1,0,225,2,1,1 
0.22021484, 0.26904297, 1.4956055,1,0,226,2,1,1 
0.080078125, 0.21972656, 1.7988281,1,0,227,2,1,1 
0.29785156, 0.5996094, 2.984375,1,0,228,2,1,1 
0.98828125, 2.3676758, 6.053711,1,0,229,2,1,1 
1.8505859, 0.9980469, 6.5810547,1,0,230,2,1,1 
-1.0180664, -8.589844, 3.3134766,1,0,231,2,1,1 
5.998535, -5.3916016, 1.2836914,1,0,232,2,1,1 
8.783691, -0.37841797, 2.6015625,1,0,233,2,1,1 
11.023926, 4.4746094, 0.88964844,1,0,234,2,1,1 
7.7504883, 4.689453, -0.038085938,1,0,235,2,1,1 
2.463379, 1.5444336, 3.3896484,1,0,236,2,1,1 
