Interval_no,Empty,Step Start Index
1,,21
1,,59
1,,98
1,,136
1,,176
1,,214
1,,254
1,,293
1,,333
1,,371
1,,410
1,,449
1,,488
1,,526
1,,566
1,,605
1,,645
1,,684
1,,724
1,,762
1,,802
1,,840
1,,880
1,,918
1,,958
1,,997
1,,1037
1,,1076
1,,1115
1,,1153
1,,1193
1,,1232
1,,1271
1,,1310
1,,1350
1,,1389
1,,1429
1,,1467
1,,1507
1,,1547
1,,1586
1,,1625
1,,1665
1,,1705
1,,1746
1,,1786
1,,1827
1,,1868
1,,1909
1,,1950
1,,1991
1,,2031
1,,2072
1,,2113
1,,2153
1,,2194
1,,2235
1,,2275
1,,2316
1,,2355
1,,2396
1,,2435
1,,2476
1,,2516
1,,2555
1,,2593
1,,2632
1,,2670
1,,2710
1,,2749
1,,2790
1,,2829
1,,2869
1,,2908
1,,2948
