Left Probability,Right Probability,Leg,Leg Fix,Step #,Interval #
0.9998179,0.00018215443,left,Left,0,0
1.6884253e-07,0.9999999,right,Right,1,0
0.94029105,0.059708986,left,Left,2,0
0.0005720033,0.999428,right,Right,3,0
0.94761926,0.05238074,left,Left,4,0
0.0001044564,0.9998956,right,Right,5,0
0.9136009,0.08639911,left,Left,6,0
4.6785476e-06,0.99999535,right,Right,7,0
0.44660658,0.5533934,right,Left,8,0
1.8719978e-05,0.9999813,right,Right,9,0
0.9091408,0.09085915,left,Left,10,0
3.456737e-06,0.99999654,right,Right,11,0
0.25711343,0.74288654,right,Left,12,0
0.0002238663,0.9997762,right,Right,13,0
0.029835444,0.97016454,right,Left,14,0
0.0002797025,0.9997203,right,Right,15,0
0.99956065,0.0004393032,left,Left,16,0
0.0011893038,0.99881077,right,Right,17,0
0.03299979,0.96700025,right,Left,18,0
1.5882457e-05,0.99998415,right,Right,19,0
0.9938339,0.006166143,left,Left,20,0
5.755091e-05,0.9999424,right,Right,21,0
0.9995535,0.00044642403,left,Left,22,0
1.0485312e-05,0.9999895,right,Right,23,0
0.99606377,0.003936196,left,Left,24,0
7.1215577e-06,0.99999285,right,Right,25,0
0.99976224,0.00023772093,left,Left,26,0
2.5233524e-08,1.0,right,Right,27,0
0.7649334,0.23506656,left,Left,28,0
6.774101e-06,0.9999932,right,Right,29,0
0.9768132,0.023186758,left,Left,30,0
7.390079e-09,1.0,right,Right,31,0
0.9671641,0.03283585,left,Left,32,0
1.708554e-06,0.99999833,right,Right,33,0
0.983573,0.016426953,left,Left,34,0
0.0002262861,0.9997737,right,Right,35,0
0.9998752,0.00012474968,left,Left,36,0
5.4785114e-06,0.9999945,right,Right,37,0
0.8951921,0.10480793,left,Left,38,0
2.9775716e-08,1.0,right,Right,39,0
0.9773167,0.022683378,left,Left,40,0
2.5638506e-06,0.9999974,right,Right,41,0
0.98428184,0.015718177,left,Left,42,0
1.9890334e-07,0.99999976,right,Right,43,0
0.567029,0.43297103,left,Left,44,0
1.7553674e-06,0.9999982,right,Right,45,0
0.5910744,0.4089256,left,Left,46,0
2.818851e-07,0.99999976,right,Right,47,0
0.9434263,0.056573655,left,Left,48,0
6.280007e-06,0.9999937,right,Right,49,0
0.98947877,0.01052122,left,Left,50,0
3.8818152e-06,0.99999607,right,Right,51,0
0.6280348,0.37196523,left,Left,52,0
6.901322e-05,0.999931,right,Right,53,0
0.046891063,0.9531089,right,Left,54,0
2.6051368e-05,0.9999739,right,Right,55,0
0.98581684,0.014183231,left,Left,56,0
2.8581213e-05,0.9999714,right,Right,57,0
0.9931156,0.006884466,left,Left,58,0
3.885315e-05,0.99996114,right,Right,59,0
0.9857459,0.014254095,left,Left,60,0
0.0015163625,0.9984837,right,Right,61,0
0.004946195,0.99505377,right,Left,62,0
9.4143974e-07,0.99999905,right,Right,63,0
0.95848006,0.041519955,left,Left,64,0
1.2997333e-05,0.999987,right,Right,65,0
0.9952362,0.004763774,left,Left,66,0
1.6807067e-05,0.9999832,right,Right,67,0
0.9832056,0.016794449,left,Left,68,0
6.405176e-05,0.999936,right,Right,69,0
0.9169058,0.083094224,left,Left,70,0
3.867881e-05,0.9999614,right,Right,71,0
0.9370301,0.06296989,left,Left,72,0
0.004762241,0.9952377,right,Right,73,0
