x,y,z,interval_no,pause/unpause,data_sample_no,packet_no,App_Interval_no,RunType
2.9111328, -0.15283203, 2.1567383,1,0,173,1,1,1 
3.479004, 0.66845703, 2.286621,1,0,174,1,1,1 
3.7285156, 0.17871094, 2.3588867,1,0,175,1,1,1 
3.3579102, -0.05419922, 1.8208008,1,0,176,1,1,1 
3.3769531, -0.036132812, 1.9697266,1,0,177,1,1,1 
3.336914, -0.6088867, 1.918457,1,0,178,1,1,1 
3.074707, -0.50439453, 1.8720703,1,0,179,1,1,1 
2.8632812, -0.6503906, 1.8359375,1,0,180,1,1,1 
2.6982422, -0.64501953, 1.6728516,1,0,181,1,1,1 
2.572754, -0.32763672, 1.7202148,1,0,182,1,1,1 
2.6430664, -0.06982422, 1.7441406,1,0,183,1,1,1 
2.6235352, 0.18164062, 1.6064453,1,0,184,1,1,1 
2.203125, 0.34033203, 1.4243164,1,0,185,1,1,1 
1.6787109, 0.5722656, 1.3071289,1,0,186,1,1,1 
1.4130859, 0.72998047, 1.2817383,1,0,187,1,1,1 
1.03125, 0.7919922, 1.2836914,1,0,188,1,1,1 
0.5151367, 0.8417969, 1.4458008,1,0,189,1,1,1 
0.037597656, 0.7475586, 1.3813477,1,0,190,1,1,1 
-0.42919922, 0.43359375, 1.2749023,1,0,191,2,1,1 
-0.8125, 0.0146484375, 1.1948242,1,0,192,2,1,1 
-1.2045898, -0.32666016, 1.0576172,1,0,193,2,1,1 
-1.6000977, -0.41503906, 0.88720703,1,0,194,2,1,1 
-1.8076172, -0.36279297, 0.8413086,1,0,195,2,1,1 
-1.6855469, -0.43798828, 0.8676758,1,0,196,2,1,1 
-1.2421875, -0.38720703, 1.0146484,1,0,197,2,1,1 
-0.95214844, -0.21972656, 1.1464844,1,0,198,2,1,1 
-0.7783203, -0.10595703, 1.4609375,1,0,199,2,1,1 
-0.37353516, 0.27392578, 2.7402344,1,0,200,2,1,1 
0.37890625, 0.75341797, 4.847168,1,0,201,2,1,1 
-0.030761719, 1.0844727, 4.0151367,1,0,202,2,1,1 
0.17333984, -1.4277344, 1.5400391,1,0,203,2,1,1 
0.85058594, -1.925293, 1.9824219,1,0,204,2,1,1 
7.3969727, -1.2729492, 4.044922,1,0,205,2,1,1 
15.999512, 0.68603516, 1.6948242,1,0,206,2,1,1 
5.9804688, 1.8208008, 2.7211914,1,0,207,2,1,1 
0.44677734, 0.4267578, 3.1254883,1,0,208,2,1,1 
1.3100586, -0.31982422, 1.7197266,1,0,209,3,1,1 
4.5268555, -1.2304688, 3.7338867,1,0,210,3,1,1 
3.9873047, -0.9746094, 2.7114258,1,0,211,3,1,1 
3.008789, -0.66503906, 2.3012695,1,0,212,3,1,1 
3.4199219, -0.7421875, 2.7919922,1,0,213,3,1,1 
3.6533203, -0.22558594, 2.328125,1,0,214,3,1,1 
3.6274414, 0.046875, 2.053711,1,0,215,3,1,1 
3.5249023, 0.1508789, 2.086914,1,0,216,3,1,1 
3.1098633, 0.24072266, 1.887207,1,0,217,3,1,1 
2.7495117, 0.38330078, 1.6791992,1,0,218,3,1,1 
2.7890625, 0.34228516, 1.6386719,1,0,219,3,1,1 
2.6264648, 0.043945312, 1.5644531,1,0,220,3,1,1 
2.4956055, -0.32763672, 1.4067383,1,0,221,3,1,1 
2.2006836, -0.60253906, 1.3725586,1,0,222,3,1,1 
1.9213867, -0.84716797, 1.3740234,1,0,223,3,1,1 
1.6762695, -0.8833008, 1.3735352,1,0,224,3,1,1 
1.4736328, -0.8979492, 1.159668,1,0,225,3,1,1 
0.83984375, -0.7348633, 1.0078125,1,0,226,3,1,1 
0.44189453, -0.66845703, 0.9550781,1,0,227,4,1,1 
0.0063476562, -0.53466797, 1.1030273,1,0,228,4,1,1 
-0.3779297, -0.29882812, 1.2075195,1,0,229,4,1,1 
-0.70751953, 0.012207031, 1.1166992,1,0,230,4,1,1 
-1.1645508, 0.4790039, 1.1328125,1,0,231,4,1,1 
-1.1303711, 0.9165039, 1.125,1,0,232,4,1,1 
-1.3852539, 0.9145508, 1.2612305,1,0,233,4,1,1 
-1.487793, 0.80615234, 1.1401367,1,0,234,4,1,1 
-1.4243164, 0.8261719, 0.91748047,1,0,235,4,1,1 
-1.1142578, 0.58496094, 0.8330078,1,0,236,4,1,1 
-0.59716797, 0.26757812, 1.0908203,1,0,237,4,1,1 
-0.25683594, -0.18701172, 2.0791016,1,0,238,4,1,1 
0.022460938, -0.7241211, 4.911133,1,0,239,4,1,1 
0.25439453, -1.1152344, 4.2973633,1,0,240,4,1,1 
0.5727539, 0.038085938, 2.418457,1,0,241,4,1,1 
0.7944336, 1.7583008, 2.1171875,1,0,242,4,1,1 
4.2802734, 2.1855469, 3.4829102,1,0,243,4,1,1 
9.977051, -0.37890625, 2.4047852,1,0,244,4,1,1 
11.152344, -4.351074, 4.1206055,1,0,245,5,1,1 
2.0268555, -1.671875, 4.0424805,1,0,246,5,1,1 
1.7866211, -0.6123047, 1.7670898,1,0,247,5,1,1 
3.4770508, 0.7270508, 3.4692383,1,0,248,5,1,1 
3.6801758, 0.03466797, 2.744629,1,0,249,5,1,1 
3.0361328, 0.5078125, 2.3637695,1,0,250,5,1,1 
3.2314453, 0.14794922, 2.4956055,1,0,251,5,1,1 
3.6621094, 0.17773438, 2.2387695,1,0,252,5,1,1 
3.7451172, -0.14208984, 1.9311523,1,0,253,5,1,1 
3.588379, -0.5332031, 1.9458008,1,0,254,5,1,1 
3.4711914, -0.79589844, 1.9526367,1,0,1,5,1,1 
3.0595703, -0.71533203, 1.8662109,1,0,2,5,1,1 
2.7558594, -0.66845703, 1.7519531,1,0,3,5,1,1 
2.6191406, -0.45166016, 1.7514648,1,0,4,5,1,1 
